Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
2cddb28d-b763-4799-a993-23c88e1964b7,2017-06-13 17:35:56,Running,,6.85,47:14,6:54,8.70,554.0,79,,"","",2017-06-13-173556.gpx
634ce10e-4a8d-4ac6-8ad1-a4c97efaf13f,2017-06-10 20:22:19,Running,,10.01,1:03:17,6:20,9.49,830.0,106,,"","",2017-06-10-202219.gpx
9a7a05ec-d9ec-468e-b787-04f0e4bb3305,2017-06-07 18:14:14,Running,,2.73,21:14,7:48,7.70,218.0,53,,"","",2017-06-07-181414.gpx
7ec7f6d4-acad-4b3a-abc6-3edb72bc253b,2017-06-05 18:26:17,Running,,7.85,57:56,7:23,8.13,631.0,94,,"","",2017-06-05-182617.gpx
1eafcf4e-f29b-461e-b371-254ad6c02dbb,2017-05-31 18:13:37,Running,,5.09,31:54,6:16,9.57,419.0,72,,"","",2017-05-31-181337.gpx
634b4e98-5118-4d4c-9953-75a53acf0cc5,2017-05-29 17:31:39,Running,,5.07,32:50,6:29,9.26,414.0,69,,"","",2017-05-29-173139.gpx
186bf83c-5567-41d4-bafd-09df0b560810,2017-05-24 18:42:20,Running,,10.01,1:07:30,6:45,8.90,813.0,104,,"","",2017-05-24-184220.gpx
a660583f-94b1-4bc4-b28b-cedeeb7f3c93,2017-04-09 16:53:45,Running,,10.04,58:16,5:48,10.33,826.0,104,,"","",2017-04-09-165345.gpx
8d39bb20-ea7c-401b-8a5a-296ae9fa82b1,2017-04-05 19:30:00,Running,,10.00,1:05:13,6:31,9.20,827.0,70,,"","",2017-04-05-193000.gpx
ffb0f46d-3cd3-415d-a1c7-facd19ef5df7,2017-04-03 11:44:24,Running,,4.86,28:20,5:50,10.29,400.0,49,,"","",2017-04-03-114424.gpx
1452b77c-7f08-434b-a34a-87573cc3b247,2017-03-30 11:39:29,Running,,4.86,29:23,6:03,9.91,399.0,45,,"","",2017-03-30-113929.gpx
9db2bbed-2398-4de5-af97-d21332c4ee32,2017-03-27 11:59:16,Running,,4.95,30:41,6:12,9.67,396.0,22,,"","",2017-03-27-115916.gpx
12599784-328f-4bcb-9524-609dc68ceff1,2017-02-03 17:42:36,Running,,5.73,34:19,6:00,10.01,473.0,55,,"","",2017-02-03-174236.gpx
